units,date,store_nbr,item_nbr
115,2012-01-02,32,9
72,2012-01-02,32,45
1,2012-01-02,32,58
2,2012-01-02,32,93
195,2012-01-02,33,9
50,2012-01-02,33,44
88,2012-01-02,34,9
134,2012-01-02,34,45
3,2012-01-02,34,52
34,2012-01-02,36,9
1,2012-01-02,36,30
115,2012-01-02,36,44
102,2012-01-02,37,5
84,2012-01-02,37,45
3,2012-01-02,37,53
145,2012-01-02,38,9
137,2012-01-02,38,45
13,2012-01-02,39,9
13,2012-01-02,39,36
183,2012-01-02,40,5
116,2012-01-02,40,45
57,2012-01-02,41,16
150,2012-01-02,41,68
61,2012-01-02,42,5
89,2012-01-02,42,45
2,2012-01-02,42,82
92,2012-01-02,43,16
41,2012-01-02,43,37
2,2012-01-02,43,73
95,2012-01-02,44,5
93,2012-01-02,44,68
51,2012-01-02,45,9
2,2012-01-02,45,50
15,2012-01-03,1,9
9,2012-01-03,1,28
104,2012-01-03,2,5
109,2012-01-03,2,44
61,2012-01-03,3,5
75,2012-01-03,3,45
29,2012-01-03,4,9
5,2012-01-03,4,27
1,2012-01-03,4,90
33,2012-01-03,5,16
3,2012-01-03,5,20
18,2012-01-03,5,37
59,2012-01-03,6,9
26,2012-01-03,6,45
164,2012-01-03,7,5
3,2012-01-03,7,7
23,2012-01-03,7,23
87,2012-01-03,8,5
5,2012-01-03,8,23
158,2012-01-03,9,5
2,2012-01-03,9,10
70,2012-01-03,9,45
162,2012-01-03,10,5
3,2012-01-03,10,21
26,2012-01-03,10,37
42,2012-01-03,11,9
52,2012-01-03,11,68
36,2012-01-03,12,16
25,2012-01-03,12,37
196,2012-01-03,13,5
87,2012-01-03,13,36
10,2012-01-03,13,46
15,2012-01-03,14,9
18,2012-01-03,14,25
1,2012-01-03,14,50
1,2012-01-03,14,70
3,2012-01-03,14,93
174,2012-01-03,15,5
1,2012-01-03,15,17
128,2012-01-03,15,45
1,2012-01-03,15,49
20,2012-01-03,16,16
155,2012-01-03,16,25
1,2012-01-03,16,39
1,2012-01-03,16,50
149,2012-01-03,17,9
97,2012-01-03,17,37
223,2012-01-03,17,48
1,2012-01-03,17,71
12,2012-01-03,18,5
8,2012-01-03,18,37
35,2012-01-03,19,16
8,2012-01-03,19,83
117,2012-01-03,20,5
30,2012-01-03,20,41
6,2012-01-03,20,74
50,2012-01-03,21,5
72,2012-01-03,21,44
69,2012-01-03,22,9
65,2012-01-03,22,68
46,2012-01-03,23,5
1,2012-01-03,23,29
39,2012-01-03,23,45
105,2012-01-03,24,6
92,2012-01-03,24,43
1,2012-01-03,24,60
95,2012-01-03,25,9
119,2012-01-03,25,45
14,2012-01-03,25,81
94,2012-01-03,26,5
71,2012-01-03,26,45
36,2012-01-03,27,9
1,2012-01-03,27,21
57,2012-01-03,27,68
5,2012-01-03,27,80
113,2012-01-03,28,5
29,2012-01-03,28,45
53,2012-01-03,29,8
16,2012-01-03,29,41
92,2012-01-03,29,45
63,2012-01-03,30,16
292,2012-01-03,30,44
42,2012-01-03,31,9
71,2012-01-03,31,45
69,2012-01-03,32,9
46,2012-01-03,32,45
3,2012-01-03,32,58
182,2012-01-03,33,9
178,2012-01-03,33,44
1,2012-01-03,33,92
36,2012-01-03,34,9
1,2012-01-03,34,31
104,2012-01-03,34,45
3,2012-01-03,34,52
49,2012-01-03,36,9
1,2012-01-03,36,30
127,2012-01-03,36,44
86,2012-01-03,37,5
68,2012-01-03,37,45
1,2012-01-03,37,53
118,2012-01-03,38,9
79,2012-01-03,38,45
6,2012-01-03,38,52
2,2012-01-03,39,9
13,2012-01-03,39,36
58,2012-01-03,40,5
67,2012-01-03,40,45
51,2012-01-03,41,16
122,2012-01-03,41,68
72,2012-01-03,42,5
81,2012-01-03,42,45
1,2012-01-03,42,82
89,2012-01-03,43,16
30,2012-01-03,43,37
40,2012-01-03,44,5
97,2012-01-03,44,68
18,2012-01-03,45,9
20,2012-01-04,1,9
3,2012-01-04,1,28
58,2012-01-04,2,5
2,2012-01-04,2,11
148,2012-01-04,2,44
106,2012-01-04,3,5
71,2012-01-04,3,45
80,2012-01-04,4,9
8,2012-01-04,4,27
1,2012-01-04,4,90
20,2012-01-04,5,16
2,2012-01-04,5,32
16,2012-01-04,5,37
54,2012-01-04,6,9
7,2012-01-04,6,14
51,2012-01-04,6,45
124,2012-01-04,7,5
19,2012-01-04,7,23
3,2012-01-04,7,93
45,2012-01-04,8,5
4,2012-01-04,8,23
1,2012-01-04,8,59
69,2012-01-04,9,5
70,2012-01-04,9,45
1,2012-01-04,9,93
57,2012-01-04,10,5
1,2012-01-04,10,21
25,2012-01-04,10,37
60,2012-01-04,11,9
49,2012-01-04,11,68
30,2012-01-04,12,16
32,2012-01-04,12,37
2,2012-01-04,12,79
114,2012-01-04,13,5
115,2012-01-04,13,36
1,2012-01-04,13,46
9,2012-01-04,14,9
17,2012-01-04,14,25
2,2012-01-04,14,50
212,2012-01-04,15,5
1,2012-01-04,15,17
100,2012-01-04,15,45
24,2012-01-04,16,16
174,2012-01-04,16,25
201,2012-01-04,17,9
51,2012-01-04,17,37
148,2012-01-04,17,48
22,2012-01-04,18,5
17,2012-01-04,18,37
27,2012-01-04,19,16
1,2012-01-04,19,69
4,2012-01-04,19,83
96,2012-01-04,20,5
1,2012-01-04,20,18
24,2012-01-04,20,41
3,2012-01-04,20,74
38,2012-01-04,21,5
46,2012-01-04,21,44
60,2012-01-04,22,9
59,2012-01-04,22,68
69,2012-01-04,23,5
17,2012-01-04,23,45
107,2012-01-04,24,6
70,2012-01-04,24,43
141,2012-01-04,25,9
1,2012-01-04,25,12
121,2012-01-04,25,45
15,2012-01-04,25,81
43,2012-01-04,26,5
45,2012-01-04,26,45
41,2012-01-04,27,9
33,2012-01-04,27,68
10,2012-01-04,27,93
64,2012-01-04,28,5
48,2012-01-04,28,45
31,2012-01-04,29,8
10,2012-01-04,29,41
87,2012-01-04,29,45
3,2012-01-04,29,56
41,2012-01-04,30,16
189,2012-01-04,30,44
1,2012-01-04,30,51
29,2012-01-04,31,9
64,2012-01-04,31,45
54,2012-01-04,32,9
1,2012-01-04,32,19
50,2012-01-04,32,45
2,2012-01-04,32,58
70,2012-01-04,33,9
185,2012-01-04,33,44
58,2012-01-04,34,9
104,2012-01-04,34,45
2,2012-01-04,34,52
8,2012-01-04,36,9
1,2012-01-04,36,30
83,2012-01-04,36,44
53,2012-01-04,37,5
50,2012-01-04,37,45
2,2012-01-04,37,53
56,2012-01-04,38,9
65,2012-01-04,38,45
1,2012-01-04,38,52
15,2012-01-04,39,9
11,2012-01-04,39,36
81,2012-01-04,40,5
54,2012-01-04,40,45
41,2012-01-04,41,16
55,2012-01-04,41,68
15,2012-01-04,42,5
69,2012-01-04,42,45
2,2012-01-04,42,82
72,2012-01-04,43,16
19,2012-01-04,43,37
53,2012-01-04,44,5
1,2012-01-04,44,62
64,2012-01-04,44,68
29,2012-01-04,45,9
16,2012-01-05,1,9
1,2012-01-05,1,28
138,2012-01-05,2,5
3,2012-01-05,2,11
157,2012-01-05,2,44
75,2012-01-05,3,5
111,2012-01-05,3,45
128,2012-01-05,4,9
6,2012-01-05,4,27
38,2012-01-05,5,16
17,2012-01-05,5,37
88,2012-01-05,6,9
2,2012-01-05,6,14
49,2012-01-05,6,45
130,2012-01-05,7,5
1,2012-01-05,7,7
17,2012-01-05,7,23
61,2012-01-05,8,5
10,2012-01-05,8,23
1,2012-01-05,8,59
133,2012-01-05,9,5
75,2012-01-05,9,45
58,2012-01-05,10,5
1,2012-01-05,10,21
26,2012-01-05,10,37
49,2012-01-05,11,9
1,2012-01-05,11,61
59,2012-01-05,11,68
32,2012-01-05,12,16
27,2012-01-05,12,37
2,2012-01-05,12,79
186,2012-01-05,13,5
106,2012-01-05,13,36
3,2012-01-05,13,46
40,2012-01-05,14,9
13,2012-01-05,14,25
2,2012-01-05,14,50
2,2012-01-05,14,70
112,2012-01-05,15,5
103,2012-01-05,15,45
2,2012-01-05,15,61
5,2012-01-05,15,93
32,2012-01-05,16,16
196,2012-01-05,16,25
1,2012-01-05,16,50
277,2012-01-05,17,9
69,2012-01-05,17,37
182,2012-01-05,17,48
47,2012-01-05,18,5
18,2012-01-05,18,37
48,2012-01-05,19,16
2,2012-01-05,19,69
9,2012-01-05,19,83
205,2012-01-05,20,5
1,2012-01-05,20,18
38,2012-01-05,20,41
5,2012-01-05,20,74
92,2012-01-05,21,5
84,2012-01-05,21,44
107,2012-01-05,22,9
48,2012-01-05,22,68
2,2012-01-05,22,93
57,2012-01-05,23,5
35,2012-01-05,23,45
129,2012-01-05,24,6
94,2012-01-05,24,43
2,2012-01-05,24,60
125,2012-01-05,25,9
80,2012-01-05,25,45
12,2012-01-05,25,81
56,2012-01-05,26,5
37,2012-01-05,26,45
35,2012-01-05,27,9
3,2012-01-05,27,21
40,2012-01-05,27,68
54,2012-01-05,28,5
68,2012-01-05,28,45
63,2012-01-05,29,8
23,2012-01-05,29,41
93,2012-01-05,29,45
52,2012-01-05,30,16
259,2012-01-05,30,44
1,2012-01-05,30,49
1,2012-01-05,30,65
110,2012-01-05,31,9
97,2012-01-05,31,45
96,2012-01-05,32,9
1,2012-01-05,32,19
32,2012-01-05,32,45
343,2012-01-05,33,9
357,2012-01-05,33,44
5,2012-01-05,33,92
95,2012-01-05,34,9
5,2012-01-05,34,31
165,2012-01-05,34,45
4,2012-01-05,34,52
41,2012-01-05,36,9
1,2012-01-05,36,30
131,2012-01-05,36,44
43,2012-01-05,37,5
62,2012-01-05,37,45
1,2012-01-05,37,53
132,2012-01-05,38,9
142,2012-01-05,38,45
1,2012-01-05,38,52
12,2012-01-05,39,9
20,2012-01-05,39,36
80,2012-01-05,40,5
54,2012-01-05,40,45
3,2012-01-05,40,51
1,2012-01-05,40,55
56,2012-01-05,41,16
1,2012-01-05,41,61
96,2012-01-05,41,68
112,2012-01-05,42,5
106,2012-01-05,42,45
2,2012-01-05,42,82
73,2012-01-05,43,16
26,2012-01-05,43,37
48,2012-01-05,44,5
3,2012-01-05,44,62
63,2012-01-05,44,68
45,2012-01-05,45,9
12,2012-01-06,1,9
2,2012-01-06,1,28
145,2012-01-06,2,5
2,2012-01-06,2,11
109,2012-01-06,2,44
81,2012-01-06,3,5
76,2012-01-06,3,45
124,2012-01-06,4,9
4,2012-01-06,4,27
1,2012-01-06,4,90
22,2012-01-06,5,16
1,2012-01-06,5,32
22,2012-01-06,5,37
40,2012-01-06,6,9
58,2012-01-06,6,45
105,2012-01-06,7,5
4,2012-01-06,7,7
11,2012-01-06,7,23
14,2012-01-06,8,5
4,2012-01-06,8,23
6,2012-01-06,8,93
94,2012-01-06,9,5
69,2012-01-06,9,45
48,2012-01-06,10,5
40,2012-01-06,10,37
17,2012-01-06,11,9
7,2012-01-06,11,61
53,2012-01-06,11,68
34,2012-01-06,12,16
25,2012-01-06,12,37
1,2012-01-06,12,79
1,2012-01-06,12,93
164,2012-01-06,13,5
102,2012-01-06,13,36
3,2012-01-06,13,46
5,2012-01-06,14,9
21,2012-01-06,14,25
1,2012-01-06,14,50
3,2012-01-06,14,70
100,2012-01-06,15,5
112,2012-01-06,15,45
3,2012-01-06,15,61
27,2012-01-06,16,16
168,2012-01-06,16,25
1,2012-01-06,16,39
1,2012-01-06,16,50
239,2012-01-06,17,9
63,2012-01-06,17,37
119,2012-01-06,17,48
1,2012-01-06,17,71
11,2012-01-06,18,5
4,2012-01-06,18,37
26,2012-01-06,19,16
1,2012-01-06,19,69
9,2012-01-06,19,83
5,2012-01-06,19,93
157,2012-01-06,20,5
1,2012-01-06,20,18
26,2012-01-06,20,41
2,2012-01-06,20,74
77,2012-01-06,21,5
65,2012-01-06,21,44
1,2012-01-06,21,91
136,2012-01-06,22,9
60,2012-01-06,22,68
63,2012-01-06,23,5
1,2012-01-06,23,29
44,2012-01-06,23,45
80,2012-01-06,24,6
103,2012-01-06,24,43
79,2012-01-06,25,9
89,2012-01-06,25,45
10,2012-01-06,25,81
70,2012-01-06,26,5
42,2012-01-06,26,45
84,2012-01-06,27,9
51,2012-01-06,27,68
1,2012-01-06,27,80
30,2012-01-06,28,5
53,2012-01-06,28,45
37,2012-01-06,29,8
9,2012-01-06,29,41
87,2012-01-06,29,45
1,2012-01-06,29,56
56,2012-01-06,30,16
239,2012-01-06,30,44
57,2012-01-06,31,9
74,2012-01-06,31,45
12,2012-01-06,31,93
55,2012-01-06,32,9
48,2012-01-06,32,45
115,2012-01-06,33,9
214,2012-01-06,33,44
1,2012-01-06,33,92
55,2012-01-06,34,9
122,2012-01-06,34,45
3,2012-01-06,34,93
41,2012-01-06,36,9
151,2012-01-06,36,44
38,2012-01-06,37,5
72,2012-01-06,37,45
2,2012-01-06,37,53
84,2012-01-06,38,9
108,2012-01-06,38,45
6,2012-01-06,39,9
15,2012-01-06,39,36
88,2012-01-06,40,5
68,2012-01-06,40,45
55,2012-01-06,41,16
7,2012-01-06,41,61
105,2012-01-06,41,68
63,2012-01-06,42,5
72,2012-01-06,42,45
1,2012-01-06,42,82
79,2012-01-06,43,16
32,2012-01-06,43,37
1,2012-01-06,43,73
95,2012-01-06,44,5
40,2012-01-06,44,68
32,2012-01-06,45,9
2,2012-01-07,1,9
1,2012-01-07,1,28
71,2012-01-07,2,5
169,2012-01-07,2,44
136,2012-01-07,3,5
124,2012-01-07,3,45
190,2012-01-07,4,9
6,2012-01-07,4,27
40,2012-01-07,5,16
1,2012-01-07,5,20
30,2012-01-07,5,37
110,2012-01-07,6,9
57,2012-01-07,6,45
190,2012-01-07,7,5
4,2012-01-07,7,7
26,2012-01-07,7,23
72,2012-01-07,8,5
14,2012-01-07,8,23
120,2012-01-07,9,5
4,2012-01-07,9,10
75,2012-01-07,9,45
120,2012-01-07,10,5
1,2012-01-07,10,21
46,2012-01-07,10,37
67,2012-01-07,11,9
4,2012-01-07,11,61
84,2012-01-07,11,68
54,2012-01-07,12,16
51,2012-01-07,12,37
7,2012-01-07,12,93
170,2012-01-07,13,5
95,2012-01-07,13,36
9,2012-01-07,13,46
1,2012-01-07,13,93
43,2012-01-07,14,9
9,2012-01-07,14,25
1,2012-01-07,14,70
220,2012-01-07,15,5
4,2012-01-07,15,17
171,2012-01-07,15,45
2,2012-01-07,15,49
2,2012-01-07,15,61
42,2012-01-07,16,16
250,2012-01-07,16,25
2,2012-01-07,16,50
154,2012-01-07,17,9
82,2012-01-07,17,37
249,2012-01-07,17,48
1,2012-01-07,17,71
23,2012-01-07,18,5
12,2012-01-07,18,37
31,2012-01-07,19,16
1,2012-01-07,19,69
18,2012-01-07,19,83
46,2012-01-07,20,5
4,2012-01-07,20,18
30,2012-01-07,20,41
4,2012-01-07,20,74
32,2012-01-07,21,5
82,2012-01-07,21,44
1,2012-01-07,21,91
89,2012-01-07,22,9
72,2012-01-07,22,68
26,2012-01-07,23,5
1,2012-01-07,23,29
34,2012-01-07,23,45
61,2012-01-07,24,6
130,2012-01-07,24,43
2,2012-01-07,24,60
168,2012-01-07,25,9
163,2012-01-07,25,45
1,2012-01-07,25,50
19,2012-01-07,25,81
36,2012-01-07,26,5
62,2012-01-07,26,45
51,2012-01-07,27,9
66,2012-01-07,27,68
27,2012-01-07,28,5
3,2012-01-07,28,35
61,2012-01-07,28,45
21,2012-01-07,29,8
24,2012-01-07,29,41
83,2012-01-07,29,45
5,2012-01-07,29,56
44,2012-01-07,30,16
234,2012-01-07,30,44
1,2012-01-07,30,49
1,2012-01-07,30,65
66,2012-01-07,31,9
60,2012-01-07,31,45
3,2012-01-07,31,93
81,2012-01-07,32,9
2,2012-01-07,32,19
63,2012-01-07,32,45
2,2012-01-07,32,51
2,2012-01-07,32,58
2,2012-01-07,32,86
8,2012-01-07,32,93
180,2012-01-07,33,9
230,2012-01-07,33,44
4,2012-01-07,33,92
95,2012-01-07,34,9
2,2012-01-07,34,31
133,2012-01-07,34,45
1,2012-01-07,34,52
98,2012-01-07,36,9
155,2012-01-07,36,44
112,2012-01-07,37,5
65,2012-01-07,37,45
2,2012-01-07,37,53
142,2012-01-07,38,9
132,2012-01-07,38,45
4,2012-01-07,39,9
11,2012-01-07,39,36
197,2012-01-07,40,5
113,2012-01-07,40,45
4,2012-01-07,40,55
84,2012-01-07,41,16
2,2012-01-07,41,61
164,2012-01-07,41,68
2,2012-01-07,41,93
68,2012-01-07,42,5
58,2012-01-07,42,45
110,2012-01-07,43,16
38,2012-01-07,43,37
31,2012-01-07,44,5
5,2012-01-07,44,62
55,2012-01-07,44,68
19,2012-01-07,45,9
22,2012-01-08,1,9
4,2012-01-08,1,28
1,2012-01-08,1,51
157,2012-01-08,2,5
4,2012-01-08,2,11
154,2012-01-08,2,44
2,2012-01-08,2,85
54,2012-01-08,3,5
113,2012-01-08,3,45
123,2012-01-08,4,9
20,2012-01-08,4,27
71,2012-01-08,5,16
1,2012-01-08,5,32
32,2012-01-08,5,37
66,2012-01-08,6,9
62,2012-01-08,6,45
213,2012-01-08,7,5
3,2012-01-08,7,7
32,2012-01-08,7,23
101,2012-01-08,8,5
17,2012-01-08,8,23
1,2012-01-08,8,93
86,2012-01-08,9,5
1,2012-01-08,9,10
8,2012-01-08,9,45
1,2012-01-08,9,93
75,2012-01-08,10,5
42,2012-01-08,10,37
56,2012-01-08,11,9
73,2012-01-08,11,68
61,2012-01-08,12,16
43,2012-01-08,12,37
282,2012-01-08,13,5
142,2012-01-08,13,36
7,2012-01-08,13,93
16,2012-01-08,14,9
1,2012-01-08,14,50
2,2012-01-08,14,70
232,2012-01-08,15,5
2,2012-01-08,15,17
175,2012-01-08,15,45
1,2012-01-08,15,49
3,2012-01-08,15,61
3,2012-01-08,15,93
47,2012-01-08,16,16
300,2012-01-08,16,25
156,2012-01-08,17,9
99,2012-01-08,17,37
172,2012-01-08,17,48
16,2012-01-08,18,5
28,2012-01-08,18,37
26,2012-01-08,19,16
1,2012-01-08,19,69
9,2012-01-08,19,83
132,2012-01-08,20,5
1,2012-01-08,20,18
34,2012-01-08,20,41
4,2012-01-08,20,74
140,2012-01-08,21,5
76,2012-01-08,21,44
100,2012-01-08,22,9
76,2012-01-08,22,68
36,2012-01-08,23,5
1,2012-01-08,23,29
51,2012-01-08,23,45
146,2012-01-08,24,6
120,2012-01-08,24,43
179,2012-01-08,25,9
1,2012-01-08,25,12
140,2012-01-08,25,45
22,2012-01-08,25,81
90,2012-01-08,26,5
67,2012-01-08,26,45
68,2012-01-08,27,9
91,2012-01-08,27,68
2,2012-01-08,27,93
78,2012-01-08,28,5
1,2012-01-08,28,35
76,2012-01-08,28,45
51,2012-01-08,29,8
34,2012-01-08,29,41
115,2012-01-08,29,45
5,2012-01-08,29,56
72,2012-01-08,30,16
317,2012-01-08,30,44
1,2012-01-08,30,49
1,2012-01-08,30,65
113,2012-01-08,31,9
110,2012-01-08,31,45
48,2012-01-08,32,9
1,2012-01-08,32,19
42,2012-01-08,32,45
1,2012-01-08,32,51
2,2012-01-08,32,58
273,2012-01-08,33,9
233,2012-01-08,33,44
90,2012-01-08,34,9
123,2012-01-08,34,45
2,2012-01-08,34,52
66,2012-01-08,36,9
2,2012-01-08,36,30
98,2012-01-08,36,44
71,2012-01-08,37,5
80,2012-01-08,37,45
205,2012-01-08,38,9
144,2012-01-08,38,45
14,2012-01-08,39,36
102,2012-01-08,40,5
93,2012-01-08,40,45
5,2012-01-08,40,51
2,2012-01-08,40,55
83,2012-01-08,41,16
1,2012-01-08,41,61
110,2012-01-08,41,68
1,2012-01-08,41,86
108,2012-01-08,42,5
101,2012-01-08,42,45
4,2012-01-08,42,82
99,2012-01-08,43,16
22,2012-01-08,43,37
55,2012-01-08,44,5
5,2012-01-08,44,62
64,2012-01-08,44,68
8,2012-01-08,45,9
1,2012-01-08,45,50
50,2012-01-09,1,9
1,2012-01-09,1,28
1,2012-01-09,1,51
53,2012-01-09,2,5
99,2012-01-09,2,44
82,2012-01-09,3,5
89,2012-01-09,3,45
85,2012-01-09,4,9
8,2012-01-09,4,27
49,2012-01-09,5,16
1,2012-01-09,5,20
7,2012-01-09,5,32
21,2012-01-09,5,37
56,2012-01-09,6,9
42,2012-01-09,6,45
133,2012-01-09,7,5
17,2012-01-09,7,23
4,2012-01-09,7,93
29,2012-01-09,8,5
6,2012-01-09,8,23
4,2012-01-09,8,59
57,2012-01-09,9,5
89,2012-01-09,9,45
40,2012-01-09,10,5
1,2012-01-09,10,21
31,2012-01-09,10,37
1,2012-01-09,10,86
22,2012-01-09,11,9
1,2012-01-09,11,61
44,2012-01-09,11,68
40,2012-01-09,12,16
25,2012-01-09,12,37
116,2012-01-09,13,5
103,2012-01-09,13,36
3,2012-01-09,13,46
13,2012-01-09,14,9
2,2012-01-09,14,70
111,2012-01-09,15,5
3,2012-01-09,15,17
111,2012-01-09,15,45
1,2012-01-09,15,61
37,2012-01-09,16,16
135,2012-01-09,16,25
288,2012-01-09,17,9
78,2012-01-09,17,37
118,2012-01-09,17,48
2,2012-01-09,17,71
35,2012-01-09,18,5
5,2012-01-09,18,37
12,2012-01-09,19,16
1,2012-01-09,19,69
8,2012-01-09,19,83
52,2012-01-09,20,5
24,2012-01-09,20,41
9,2012-01-09,20,74
51,2012-01-09,21,5
83,2012-01-09,21,44
1,2012-01-09,21,91
112,2012-01-09,22,9
46,2012-01-09,22,68
4,2012-01-09,22,93
31,2012-01-09,23,5
37,2012-01-09,23,45
109,2012-01-09,24,6
91,2012-01-09,24,43
1,2012-01-09,24,76
164,2012-01-09,25,9
132,2012-01-09,25,45
11,2012-01-09,25,81
51,2012-01-09,26,5
37,2012-01-09,26,45
50,2012-01-09,27,9
64,2012-01-09,27,68
1,2012-01-09,27,80
12,2012-01-09,27,93
28,2012-01-09,28,5
2,2012-01-09,28,35
49,2012-01-09,28,45
26,2012-01-09,29,8
25,2012-01-09,29,41
63,2012-01-09,29,45
1,2012-01-09,29,56
53,2012-01-09,30,16
310,2012-01-09,30,44
41,2012-01-09,31,9
15,2012-01-09,31,45
54,2012-01-09,32,9
57,2012-01-09,32,45
157,2012-01-09,33,9
166,2012-01-09,33,44
2,2012-01-09,33,92
56,2012-01-09,34,9
2,2012-01-09,34,31
94,2012-01-09,34,45
86,2012-01-09,36,9
1,2012-01-09,36,30
89,2012-01-09,36,44
94,2012-01-09,37,5
51,2012-01-09,37,45
1,2012-01-09,37,53
37,2012-01-09,38,9
76,2012-01-09,38,45
3,2012-01-09,39,9
8,2012-01-09,39,36
63,2012-01-09,40,5
72,2012-01-09,40,45
