units,date,store_nbr,item_nbr,station
85,2012-01-02,6,45,14
166,2012-01-02,7,5,6
1,2012-01-02,7,7,6
22,2012-01-02,7,23,6
2,2012-01-02,7,93,6
73,2012-01-02,8,5,4
15,2012-01-02,8,23,4
1,2012-01-02,8,59,4
67,2012-01-02,9,5,17
2,2012-01-02,9,10,17
127,2012-01-02,9,45,17
84,2012-01-02,10,5,12
3,2012-01-02,10,21,12
33,2012-01-02,10,37,12
49,2012-01-02,11,9,10
71,2012-01-02,11,68,10
53,2012-01-02,12,16,11
41,2012-01-02,12,37,11
99,2012-01-02,13,5,6
120,2012-01-02,13,36,6
3,2012-01-02,13,46,6
50,2012-01-02,14,9,16
4,2012-01-02,14,50,16
265,2012-01-02,15,5,13
5,2012-01-02,15,17,13
160,2012-01-02,15,45,13
42,2012-01-02,16,16,2
102,2012-01-02,16,25,2
1,2012-01-02,16,39,2
4,2012-01-02,16,50,2
254,2012-01-02,17,9,20
68,2012-01-02,17,37,20
123,2012-01-02,17,48,20
4,2012-01-02,17,71,20
40,2012-01-02,18,5,17
16,2012-01-02,18,37,17
30,2012-01-02,19,16,15
1,2012-01-02,19,39,15
4,2012-01-02,19,69,15
11,2012-01-02,19,83,15
2,2012-01-02,19,93,15
143,2012-01-02,20,5,7
51,2012-01-02,20,41,7
4,2012-01-02,20,74,7
137,2012-01-02,21,5,3
60,2012-01-02,21,44,3
112,2012-01-02,22,9,10
57,2012-01-02,22,68,10
47,2012-01-02,23,5,17
2,2012-01-02,23,29,17
43,2012-01-02,23,45,17
148,2012-01-02,24,6,9
92,2012-01-02,24,43,9
3,2012-01-02,24,60,9
170,2012-01-02,25,9,13
1,2012-01-02,25,12,13
133,2012-01-02,25,45,13
13,2012-01-02,25,81,13
46,2012-01-02,26,5,17
56,2012-01-02,26,45,17
53,2012-01-02,27,9,10
2,2012-01-02,27,21,10
41,2012-01-02,27,68,10
69,2012-01-02,28,5,7
95,2012-01-02,28,45,7
24,2012-01-02,29,8,3
13,2012-01-02,29,41,3
110,2012-01-02,29,45,3
76,2012-01-02,30,16,19
277,2012-01-02,30,44,19
2,2012-01-02,30,49,19
2,2012-01-02,30,51,19
29,2012-01-02,31,9,17
70,2012-01-02,31,45,17
115,2012-01-02,32,9,13
72,2012-01-02,32,45,13
1,2012-01-02,32,58,13
2,2012-01-02,32,93,13
195,2012-01-02,33,9,3
50,2012-01-02,33,44,3
88,2012-01-02,34,9,17
134,2012-01-02,34,45,17
3,2012-01-02,34,52,17
34,2012-01-02,36,9,18
1,2012-01-02,36,30,18
115,2012-01-02,36,44,18
102,2012-01-02,37,5,13
84,2012-01-02,37,45,13
3,2012-01-02,37,53,13
145,2012-01-02,38,9,14
137,2012-01-02,38,45,14
13,2012-01-02,39,9,8
13,2012-01-02,39,36,8
183,2012-01-02,40,5,13
116,2012-01-02,40,45,13
57,2012-01-02,41,16,12
150,2012-01-02,41,68,12
61,2012-01-02,42,5,14
89,2012-01-02,42,45,14
2,2012-01-02,42,82,14
92,2012-01-02,43,16,11
41,2012-01-02,43,37,11
2,2012-01-02,43,73,11
95,2012-01-02,44,5,12
93,2012-01-02,44,68,12
51,2012-01-02,45,9,16
2,2012-01-02,45,50,16
15,2012-01-03,1,9,1
9,2012-01-03,1,28,1
104,2012-01-03,2,5,14
109,2012-01-03,2,44,14
61,2012-01-03,3,5,7
75,2012-01-03,3,45,7
29,2012-01-03,4,9,9
5,2012-01-03,4,27,9
1,2012-01-03,4,90,9
33,2012-01-03,5,16,12
3,2012-01-03,5,20,12
18,2012-01-03,5,37,12
59,2012-01-03,6,9,14
26,2012-01-03,6,45,14
164,2012-01-03,7,5,6
3,2012-01-03,7,7,6
23,2012-01-03,7,23,6
87,2012-01-03,8,5,4
5,2012-01-03,8,23,4
158,2012-01-03,9,5,17
2,2012-01-03,9,10,17
70,2012-01-03,9,45,17
162,2012-01-03,10,5,12
3,2012-01-03,10,21,12
26,2012-01-03,10,37,12
42,2012-01-03,11,9,10
52,2012-01-03,11,68,10
36,2012-01-03,12,16,11
25,2012-01-03,12,37,11
196,2012-01-03,13,5,6
87,2012-01-03,13,36,6
10,2012-01-03,13,46,6
15,2012-01-03,14,9,16
18,2012-01-03,14,25,16
1,2012-01-03,14,50,16
1,2012-01-03,14,70,16
3,2012-01-03,14,93,16
174,2012-01-03,15,5,13
1,2012-01-03,15,17,13
128,2012-01-03,15,45,13
1,2012-01-03,15,49,13
20,2012-01-03,16,16,2
155,2012-01-03,16,25,2
1,2012-01-03,16,39,2
1,2012-01-03,16,50,2
149,2012-01-03,17,9,20
97,2012-01-03,17,37,20
223,2012-01-03,17,48,20
1,2012-01-03,17,71,20
12,2012-01-03,18,5,17
8,2012-01-03,18,37,17
35,2012-01-03,19,16,15
8,2012-01-03,19,83,15
117,2012-01-03,20,5,7
30,2012-01-03,20,41,7
6,2012-01-03,20,74,7
50,2012-01-03,21,5,3
72,2012-01-03,21,44,3
69,2012-01-03,22,9,10
65,2012-01-03,22,68,10
46,2012-01-03,23,5,17
1,2012-01-03,23,29,17
39,2012-01-03,23,45,17
105,2012-01-03,24,6,9
92,2012-01-03,24,43,9
1,2012-01-03,24,60,9
95,2012-01-03,25,9,13
119,2012-01-03,25,45,13
14,2012-01-03,25,81,13
94,2012-01-03,26,5,17
71,2012-01-03,26,45,17
36,2012-01-03,27,9,10
1,2012-01-03,27,21,10
57,2012-01-03,27,68,10
5,2012-01-03,27,80,10
113,2012-01-03,28,5,7
29,2012-01-03,28,45,7
53,2012-01-03,29,8,3
16,2012-01-03,29,41,3
92,2012-01-03,29,45,3
63,2012-01-03,30,16,19
292,2012-01-03,30,44,19
42,2012-01-03,31,9,17
71,2012-01-03,31,45,17
69,2012-01-03,32,9,13
46,2012-01-03,32,45,13
3,2012-01-03,32,58,13
182,2012-01-03,33,9,3
178,2012-01-03,33,44,3
1,2012-01-03,33,92,3
36,2012-01-03,34,9,17
1,2012-01-03,34,31,17
104,2012-01-03,34,45,17
3,2012-01-03,34,52,17
49,2012-01-03,36,9,18
1,2012-01-03,36,30,18
127,2012-01-03,36,44,18
86,2012-01-03,37,5,13
68,2012-01-03,37,45,13
1,2012-01-03,37,53,13
118,2012-01-03,38,9,14
79,2012-01-03,38,45,14
6,2012-01-03,38,52,14
2,2012-01-03,39,9,8
13,2012-01-03,39,36,8
58,2012-01-03,40,5,13
67,2012-01-03,40,45,13
51,2012-01-03,41,16,12
122,2012-01-03,41,68,12
72,2012-01-03,42,5,14
81,2012-01-03,42,45,14
1,2012-01-03,42,82,14
89,2012-01-03,43,16,11
30,2012-01-03,43,37,11
40,2012-01-03,44,5,12
97,2012-01-03,44,68,12
18,2012-01-03,45,9,16
20,2012-01-04,1,9,1
3,2012-01-04,1,28,1
58,2012-01-04,2,5,14
2,2012-01-04,2,11,14
148,2012-01-04,2,44,14
106,2012-01-04,3,5,7
71,2012-01-04,3,45,7
80,2012-01-04,4,9,9
8,2012-01-04,4,27,9
1,2012-01-04,4,90,9
20,2012-01-04,5,16,12
2,2012-01-04,5,32,12
16,2012-01-04,5,37,12
54,2012-01-04,6,9,14
7,2012-01-04,6,14,14
51,2012-01-04,6,45,14
124,2012-01-04,7,5,6
19,2012-01-04,7,23,6
3,2012-01-04,7,93,6
45,2012-01-04,8,5,4
4,2012-01-04,8,23,4
1,2012-01-04,8,59,4
69,2012-01-04,9,5,17
70,2012-01-04,9,45,17
1,2012-01-04,9,93,17
57,2012-01-04,10,5,12
1,2012-01-04,10,21,12
25,2012-01-04,10,37,12
60,2012-01-04,11,9,10
49,2012-01-04,11,68,10
30,2012-01-04,12,16,11
32,2012-01-04,12,37,11
2,2012-01-04,12,79,11
114,2012-01-04,13,5,6
115,2012-01-04,13,36,6
1,2012-01-04,13,46,6
9,2012-01-04,14,9,16
17,2012-01-04,14,25,16
2,2012-01-04,14,50,16
212,2012-01-04,15,5,13
1,2012-01-04,15,17,13
100,2012-01-04,15,45,13
24,2012-01-04,16,16,2
174,2012-01-04,16,25,2
201,2012-01-04,17,9,20
51,2012-01-04,17,37,20
148,2012-01-04,17,48,20
22,2012-01-04,18,5,17
17,2012-01-04,18,37,17
27,2012-01-04,19,16,15
1,2012-01-04,19,69,15
4,2012-01-04,19,83,15
96,2012-01-04,20,5,7
1,2012-01-04,20,18,7
24,2012-01-04,20,41,7
3,2012-01-04,20,74,7
38,2012-01-04,21,5,3
46,2012-01-04,21,44,3
60,2012-01-04,22,9,10
59,2012-01-04,22,68,10
69,2012-01-04,23,5,17
17,2012-01-04,23,45,17
107,2012-01-04,24,6,9
70,2012-01-04,24,43,9
141,2012-01-04,25,9,13
1,2012-01-04,25,12,13
121,2012-01-04,25,45,13
15,2012-01-04,25,81,13
43,2012-01-04,26,5,17
45,2012-01-04,26,45,17
41,2012-01-04,27,9,10
33,2012-01-04,27,68,10
10,2012-01-04,27,93,10
64,2012-01-04,28,5,7
48,2012-01-04,28,45,7
31,2012-01-04,29,8,3
10,2012-01-04,29,41,3
87,2012-01-04,29,45,3
3,2012-01-04,29,56,3
41,2012-01-04,30,16,19
189,2012-01-04,30,44,19
1,2012-01-04,30,51,19
29,2012-01-04,31,9,17
64,2012-01-04,31,45,17
54,2012-01-04,32,9,13
1,2012-01-04,32,19,13
50,2012-01-04,32,45,13
2,2012-01-04,32,58,13
70,2012-01-04,33,9,3
185,2012-01-04,33,44,3
58,2012-01-04,34,9,17
104,2012-01-04,34,45,17
2,2012-01-04,34,52,17
8,2012-01-04,36,9,18
1,2012-01-04,36,30,18
83,2012-01-04,36,44,18
53,2012-01-04,37,5,13
50,2012-01-04,37,45,13
2,2012-01-04,37,53,13
56,2012-01-04,38,9,14
65,2012-01-04,38,45,14
1,2012-01-04,38,52,14
15,2012-01-04,39,9,8
11,2012-01-04,39,36,8
81,2012-01-04,40,5,13
54,2012-01-04,40,45,13
41,2012-01-04,41,16,12
55,2012-01-04,41,68,12
15,2012-01-04,42,5,14
69,2012-01-04,42,45,14
2,2012-01-04,42,82,14
72,2012-01-04,43,16,11
19,2012-01-04,43,37,11
53,2012-01-04,44,5,12
1,2012-01-04,44,62,12
64,2012-01-04,44,68,12
29,2012-01-04,45,9,16
16,2012-01-05,1,9,1
1,2012-01-05,1,28,1
138,2012-01-05,2,5,14
3,2012-01-05,2,11,14
157,2012-01-05,2,44,14
75,2012-01-05,3,5,7
111,2012-01-05,3,45,7
128,2012-01-05,4,9,9
6,2012-01-05,4,27,9
38,2012-01-05,5,16,12
17,2012-01-05,5,37,12
88,2012-01-05,6,9,14
2,2012-01-05,6,14,14
49,2012-01-05,6,45,14
130,2012-01-05,7,5,6
1,2012-01-05,7,7,6
17,2012-01-05,7,23,6
61,2012-01-05,8,5,4
10,2012-01-05,8,23,4
1,2012-01-05,8,59,4
133,2012-01-05,9,5,17
75,2012-01-05,9,45,17
58,2012-01-05,10,5,12
1,2012-01-05,10,21,12
26,2012-01-05,10,37,12
49,2012-01-05,11,9,10
1,2012-01-05,11,61,10
59,2012-01-05,11,68,10
32,2012-01-05,12,16,11
27,2012-01-05,12,37,11
2,2012-01-05,12,79,11
186,2012-01-05,13,5,6
106,2012-01-05,13,36,6
3,2012-01-05,13,46,6
40,2012-01-05,14,9,16
13,2012-01-05,14,25,16
2,2012-01-05,14,50,16
2,2012-01-05,14,70,16
112,2012-01-05,15,5,13
103,2012-01-05,15,45,13
2,2012-01-05,15,61,13
5,2012-01-05,15,93,13
32,2012-01-05,16,16,2
196,2012-01-05,16,25,2
1,2012-01-05,16,50,2
277,2012-01-05,17,9,20
69,2012-01-05,17,37,20
182,2012-01-05,17,48,20
47,2012-01-05,18,5,17
18,2012-01-05,18,37,17
48,2012-01-05,19,16,15
2,2012-01-05,19,69,15
9,2012-01-05,19,83,15
205,2012-01-05,20,5,7
1,2012-01-05,20,18,7
38,2012-01-05,20,41,7
5,2012-01-05,20,74,7
92,2012-01-05,21,5,3
84,2012-01-05,21,44,3
107,2012-01-05,22,9,10
48,2012-01-05,22,68,10
2,2012-01-05,22,93,10
57,2012-01-05,23,5,17
35,2012-01-05,23,45,17
129,2012-01-05,24,6,9
94,2012-01-05,24,43,9
2,2012-01-05,24,60,9
125,2012-01-05,25,9,13
80,2012-01-05,25,45,13
12,2012-01-05,25,81,13
56,2012-01-05,26,5,17
37,2012-01-05,26,45,17
35,2012-01-05,27,9,10
3,2012-01-05,27,21,10
40,2012-01-05,27,68,10
54,2012-01-05,28,5,7
68,2012-01-05,28,45,7
63,2012-01-05,29,8,3
23,2012-01-05,29,41,3
93,2012-01-05,29,45,3
52,2012-01-05,30,16,19
259,2012-01-05,30,44,19
1,2012-01-05,30,49,19
1,2012-01-05,30,65,19
110,2012-01-05,31,9,17
97,2012-01-05,31,45,17
96,2012-01-05,32,9,13
1,2012-01-05,32,19,13
32,2012-01-05,32,45,13
343,2012-01-05,33,9,3
357,2012-01-05,33,44,3
5,2012-01-05,33,92,3
95,2012-01-05,34,9,17
5,2012-01-05,34,31,17
165,2012-01-05,34,45,17
4,2012-01-05,34,52,17
41,2012-01-05,36,9,18
1,2012-01-05,36,30,18
131,2012-01-05,36,44,18
43,2012-01-05,37,5,13
62,2012-01-05,37,45,13
1,2012-01-05,37,53,13
132,2012-01-05,38,9,14
142,2012-01-05,38,45,14
1,2012-01-05,38,52,14
12,2012-01-05,39,9,8
20,2012-01-05,39,36,8
80,2012-01-05,40,5,13
54,2012-01-05,40,45,13
3,2012-01-05,40,51,13
1,2012-01-05,40,55,13
56,2012-01-05,41,16,12
1,2012-01-05,41,61,12
96,2012-01-05,41,68,12
112,2012-01-05,42,5,14
106,2012-01-05,42,45,14
2,2012-01-05,42,82,14
73,2012-01-05,43,16,11
26,2012-01-05,43,37,11
48,2012-01-05,44,5,12
3,2012-01-05,44,62,12
63,2012-01-05,44,68,12
45,2012-01-05,45,9,16
12,2012-01-06,1,9,1
2,2012-01-06,1,28,1
145,2012-01-06,2,5,14
2,2012-01-06,2,11,14
109,2012-01-06,2,44,14
81,2012-01-06,3,5,7
76,2012-01-06,3,45,7
124,2012-01-06,4,9,9
4,2012-01-06,4,27,9
1,2012-01-06,4,90,9
22,2012-01-06,5,16,12
1,2012-01-06,5,32,12
22,2012-01-06,5,37,12
40,2012-01-06,6,9,14
58,2012-01-06,6,45,14
105,2012-01-06,7,5,6
4,2012-01-06,7,7,6
11,2012-01-06,7,23,6
14,2012-01-06,8,5,4
4,2012-01-06,8,23,4
6,2012-01-06,8,93,4
94,2012-01-06,9,5,17
69,2012-01-06,9,45,17
48,2012-01-06,10,5,12
40,2012-01-06,10,37,12
17,2012-01-06,11,9,10
7,2012-01-06,11,61,10
53,2012-01-06,11,68,10
34,2012-01-06,12,16,11
25,2012-01-06,12,37,11
1,2012-01-06,12,79,11
1,2012-01-06,12,93,11
164,2012-01-06,13,5,6
102,2012-01-06,13,36,6
3,2012-01-06,13,46,6
5,2012-01-06,14,9,16
21,2012-01-06,14,25,16
1,2012-01-06,14,50,16
3,2012-01-06,14,70,16
100,2012-01-06,15,5,13
112,2012-01-06,15,45,13
3,2012-01-06,15,61,13
27,2012-01-06,16,16,2
168,2012-01-06,16,25,2
1,2012-01-06,16,39,2
1,2012-01-06,16,50,2
239,2012-01-06,17,9,20
63,2012-01-06,17,37,20
119,2012-01-06,17,48,20
1,2012-01-06,17,71,20
11,2012-01-06,18,5,17
4,2012-01-06,18,37,17
26,2012-01-06,19,16,15
1,2012-01-06,19,69,15
9,2012-01-06,19,83,15
5,2012-01-06,19,93,15
157,2012-01-06,20,5,7
1,2012-01-06,20,18,7
26,2012-01-06,20,41,7
2,2012-01-06,20,74,7
77,2012-01-06,21,5,3
65,2012-01-06,21,44,3
1,2012-01-06,21,91,3
136,2012-01-06,22,9,10
60,2012-01-06,22,68,10
63,2012-01-06,23,5,17
1,2012-01-06,23,29,17
44,2012-01-06,23,45,17
80,2012-01-06,24,6,9
103,2012-01-06,24,43,9
79,2012-01-06,25,9,13
89,2012-01-06,25,45,13
10,2012-01-06,25,81,13
70,2012-01-06,26,5,17
42,2012-01-06,26,45,17
84,2012-01-06,27,9,10
51,2012-01-06,27,68,10
1,2012-01-06,27,80,10
30,2012-01-06,28,5,7
53,2012-01-06,28,45,7
37,2012-01-06,29,8,3
9,2012-01-06,29,41,3
87,2012-01-06,29,45,3
1,2012-01-06,29,56,3
56,2012-01-06,30,16,19
239,2012-01-06,30,44,19
57,2012-01-06,31,9,17
74,2012-01-06,31,45,17
12,2012-01-06,31,93,17
55,2012-01-06,32,9,13
48,2012-01-06,32,45,13
115,2012-01-06,33,9,3
214,2012-01-06,33,44,3
1,2012-01-06,33,92,3
55,2012-01-06,34,9,17
122,2012-01-06,34,45,17
3,2012-01-06,34,93,17
41,2012-01-06,36,9,18
151,2012-01-06,36,44,18
38,2012-01-06,37,5,13
72,2012-01-06,37,45,13
2,2012-01-06,37,53,13
84,2012-01-06,38,9,14
108,2012-01-06,38,45,14
6,2012-01-06,39,9,8
15,2012-01-06,39,36,8
88,2012-01-06,40,5,13
68,2012-01-06,40,45,13
55,2012-01-06,41,16,12
7,2012-01-06,41,61,12
105,2012-01-06,41,68,12
63,2012-01-06,42,5,14
72,2012-01-06,42,45,14
1,2012-01-06,42,82,14
79,2012-01-06,43,16,11
32,2012-01-06,43,37,11
1,2012-01-06,43,73,11
95,2012-01-06,44,5,12
40,2012-01-06,44,68,12
32,2012-01-06,45,9,16
2,2012-01-07,1,9,1
1,2012-01-07,1,28,1
71,2012-01-07,2,5,14
169,2012-01-07,2,44,14
136,2012-01-07,3,5,7
124,2012-01-07,3,45,7
190,2012-01-07,4,9,9
6,2012-01-07,4,27,9
40,2012-01-07,5,16,12
1,2012-01-07,5,20,12
30,2012-01-07,5,37,12
110,2012-01-07,6,9,14
57,2012-01-07,6,45,14
190,2012-01-07,7,5,6
4,2012-01-07,7,7,6
26,2012-01-07,7,23,6
72,2012-01-07,8,5,4
14,2012-01-07,8,23,4
120,2012-01-07,9,5,17
4,2012-01-07,9,10,17
75,2012-01-07,9,45,17
120,2012-01-07,10,5,12
1,2012-01-07,10,21,12
46,2012-01-07,10,37,12
67,2012-01-07,11,9,10
4,2012-01-07,11,61,10
84,2012-01-07,11,68,10
54,2012-01-07,12,16,11
51,2012-01-07,12,37,11
7,2012-01-07,12,93,11
170,2012-01-07,13,5,6
95,2012-01-07,13,36,6
9,2012-01-07,13,46,6
1,2012-01-07,13,93,6
43,2012-01-07,14,9,16
9,2012-01-07,14,25,16
1,2012-01-07,14,70,16
220,2012-01-07,15,5,13
4,2012-01-07,15,17,13
171,2012-01-07,15,45,13
2,2012-01-07,15,49,13
2,2012-01-07,15,61,13
42,2012-01-07,16,16,2
250,2012-01-07,16,25,2
2,2012-01-07,16,50,2
154,2012-01-07,17,9,20
82,2012-01-07,17,37,20
249,2012-01-07,17,48,20
1,2012-01-07,17,71,20
23,2012-01-07,18,5,17
12,2012-01-07,18,37,17
31,2012-01-07,19,16,15
1,2012-01-07,19,69,15
18,2012-01-07,19,83,15
46,2012-01-07,20,5,7
4,2012-01-07,20,18,7
30,2012-01-07,20,41,7
4,2012-01-07,20,74,7
32,2012-01-07,21,5,3
82,2012-01-07,21,44,3
1,2012-01-07,21,91,3
89,2012-01-07,22,9,10
72,2012-01-07,22,68,10
26,2012-01-07,23,5,17
1,2012-01-07,23,29,17
34,2012-01-07,23,45,17
61,2012-01-07,24,6,9
130,2012-01-07,24,43,9
2,2012-01-07,24,60,9
168,2012-01-07,25,9,13
163,2012-01-07,25,45,13
1,2012-01-07,25,50,13
19,2012-01-07,25,81,13
36,2012-01-07,26,5,17
62,2012-01-07,26,45,17
51,2012-01-07,27,9,10
66,2012-01-07,27,68,10
27,2012-01-07,28,5,7
3,2012-01-07,28,35,7
61,2012-01-07,28,45,7
21,2012-01-07,29,8,3
24,2012-01-07,29,41,3
83,2012-01-07,29,45,3
5,2012-01-07,29,56,3
44,2012-01-07,30,16,19
234,2012-01-07,30,44,19
1,2012-01-07,30,49,19
1,2012-01-07,30,65,19
66,2012-01-07,31,9,17
60,2012-01-07,31,45,17
3,2012-01-07,31,93,17
81,2012-01-07,32,9,13
2,2012-01-07,32,19,13
63,2012-01-07,32,45,13
2,2012-01-07,32,51,13
2,2012-01-07,32,58,13
2,2012-01-07,32,86,13
8,2012-01-07,32,93,13
180,2012-01-07,33,9,3
230,2012-01-07,33,44,3
4,2012-01-07,33,92,3
95,2012-01-07,34,9,17
2,2012-01-07,34,31,17
133,2012-01-07,34,45,17
1,2012-01-07,34,52,17
98,2012-01-07,36,9,18
155,2012-01-07,36,44,18
112,2012-01-07,37,5,13
65,2012-01-07,37,45,13
2,2012-01-07,37,53,13
142,2012-01-07,38,9,14
132,2012-01-07,38,45,14
4,2012-01-07,39,9,8
11,2012-01-07,39,36,8
197,2012-01-07,40,5,13
113,2012-01-07,40,45,13
4,2012-01-07,40,55,13
84,2012-01-07,41,16,12
2,2012-01-07,41,61,12
164,2012-01-07,41,68,12
2,2012-01-07,41,93,12
68,2012-01-07,42,5,14
58,2012-01-07,42,45,14
110,2012-01-07,43,16,11
38,2012-01-07,43,37,11
31,2012-01-07,44,5,12
5,2012-01-07,44,62,12
55,2012-01-07,44,68,12
19,2012-01-07,45,9,16
22,2012-01-08,1,9,1
4,2012-01-08,1,28,1
1,2012-01-08,1,51,1
157,2012-01-08,2,5,14
4,2012-01-08,2,11,14
154,2012-01-08,2,44,14
2,2012-01-08,2,85,14
54,2012-01-08,3,5,7
113,2012-01-08,3,45,7
123,2012-01-08,4,9,9
20,2012-01-08,4,27,9
71,2012-01-08,5,16,12
1,2012-01-08,5,32,12
32,2012-01-08,5,37,12
66,2012-01-08,6,9,14
62,2012-01-08,6,45,14
213,2012-01-08,7,5,6
3,2012-01-08,7,7,6
32,2012-01-08,7,23,6
101,2012-01-08,8,5,4
17,2012-01-08,8,23,4
1,2012-01-08,8,93,4
86,2012-01-08,9,5,17
1,2012-01-08,9,10,17
8,2012-01-08,9,45,17
1,2012-01-08,9,93,17
75,2012-01-08,10,5,12
42,2012-01-08,10,37,12
56,2012-01-08,11,9,10
73,2012-01-08,11,68,10
61,2012-01-08,12,16,11
43,2012-01-08,12,37,11
282,2012-01-08,13,5,6
142,2012-01-08,13,36,6
7,2012-01-08,13,93,6
16,2012-01-08,14,9,16
1,2012-01-08,14,50,16
2,2012-01-08,14,70,16
232,2012-01-08,15,5,13
2,2012-01-08,15,17,13
175,2012-01-08,15,45,13
1,2012-01-08,15,49,13
3,2012-01-08,15,61,13
3,2012-01-08,15,93,13
47,2012-01-08,16,16,2
300,2012-01-08,16,25,2
156,2012-01-08,17,9,20
99,2012-01-08,17,37,20
172,2012-01-08,17,48,20
16,2012-01-08,18,5,17
28,2012-01-08,18,37,17
26,2012-01-08,19,16,15
1,2012-01-08,19,69,15
9,2012-01-08,19,83,15
132,2012-01-08,20,5,7
1,2012-01-08,20,18,7
34,2012-01-08,20,41,7
4,2012-01-08,20,74,7
140,2012-01-08,21,5,3
76,2012-01-08,21,44,3
100,2012-01-08,22,9,10
76,2012-01-08,22,68,10
36,2012-01-08,23,5,17
1,2012-01-08,23,29,17
51,2012-01-08,23,45,17
146,2012-01-08,24,6,9
120,2012-01-08,24,43,9
179,2012-01-08,25,9,13
1,2012-01-08,25,12,13
140,2012-01-08,25,45,13
22,2012-01-08,25,81,13
90,2012-01-08,26,5,17
67,2012-01-08,26,45,17
68,2012-01-08,27,9,10
91,2012-01-08,27,68,10
2,2012-01-08,27,93,10
78,2012-01-08,28,5,7
1,2012-01-08,28,35,7
76,2012-01-08,28,45,7
51,2012-01-08,29,8,3
34,2012-01-08,29,41,3
115,2012-01-08,29,45,3
5,2012-01-08,29,56,3
72,2012-01-08,30,16,19
317,2012-01-08,30,44,19
1,2012-01-08,30,49,19
1,2012-01-08,30,65,19
