station_nbr,date,tmax,tmin,dayNum,weekday,weekend
15,2012-01-03,30,5,2,1,0
16,2012-01-03,32,11,2,1,0
17,2012-01-03,55,19,2,1,0
18,2012-01-03,59,30,2,1,0
19,2012-01-03,26,10,2,1,0
20,2012-01-03,59,30,2,1,0
1,2012-01-04,28,9,3,1,0
2,2012-01-04,21,5,3,1,0
3,2012-01-04,63,31,3,1,0
4,2012-01-04,73,41,3,1,0
6,2012-01-04,71,31,3,1,0
7,2012-01-04,58,32,3,1,0
8,2012-01-04,72,37,3,1,0
9,2012-01-04,39,20,3,1,0
10,2012-01-04,53,32,3,1,0
11,2012-01-04,54,22,3,1,0
12,2012-01-04,53,31,3,1,0
13,2012-01-04,58,27,3,1,0
14,2012-01-04,58,32,3,1,0
15,2012-01-04,23,3,3,1,0
16,2012-01-04,27,8,3,1,0
17,2012-01-04,63,28,3,1,0
18,2012-01-04,62,37,3,1,0
19,2012-01-04,34,24,3,1,0
20,2012-01-04,62,38,3,1,0
1,2012-01-05,38,25,4,1,0
2,2012-01-05,31,20,4,1,0
3,2012-01-05,68,31,4,1,0
4,2012-01-05,70,44,4,1,0
6,2012-01-05,71,38,4,1,0
7,2012-01-05,66,28,4,1,0
8,2012-01-05,70,46,4,1,0
9,2012-01-05,46,21,4,1,0
10,2012-01-05,68,36,4,1,0
11,2012-01-05,68,31,4,1,0
12,2012-01-05,68,32,4,1,0
13,2012-01-05,66,35,4,1,0
14,2012-01-05,67,29,4,1,0
15,2012-01-05,36,17,4,1,0
16,2012-01-05,38,24,4,1,0
17,2012-01-05,68,26,4,1,0
18,2012-01-05,66,35,4,1,0
19,2012-01-05,47,26,4,1,0
20,2012-01-05,67,36,4,1,0
1,2012-01-06,46,25,5,1,0
2,2012-01-06,47,21,5,1,0
3,2012-01-06,69,40,5,1,0
4,2012-01-06,74,55,5,1,0
6,2012-01-06,75,43,5,1,0
7,2012-01-06,67,41,5,1,0
8,2012-01-06,73,57,5,1,0
9,2012-01-06,47,34,5,1,0
10,2012-01-06,72,44,5,1,0
11,2012-01-06,71,36,5,1,0
12,2012-01-06,70,38,5,1,0
13,2012-01-06,45,25,5,1,0
14,2012-01-06,67,37,5,1,0
15,2012-01-06,33,15,5,1,0
16,2012-01-06,45,25,5,1,0
17,2012-01-06,69,34,5,1,0
18,2012-01-06,73,48,5,1,0
19,2012-01-06,51,38,5,1,0
20,2012-01-06,74,50,5,1,0
1,2012-01-07,57,28,6,0,1
2,2012-01-07,56,37,6,0,1
3,2012-01-07,58,36,6,0,1
4,2012-01-07,69,49,6,0,1
6,2012-01-07,70,46,6,0,1
7,2012-01-07,58,33,6,0,1
8,2012-01-07,68,54,6,0,1
9,2012-01-07,38,22,6,0,1
10,2012-01-07,71,49,6,0,1
11,2012-01-07,73,42,6,0,1
12,2012-01-07,71,43,6,0,1
13,2012-01-07,39,22,6,0,1
14,2012-01-07,59,38,6,0,1
15,2012-01-07,44,22,6,0,1
16,2012-01-07,58,25,6,0,1
17,2012-01-07,60,40,6,0,1
18,2012-01-07,61,44,6,0,1
19,2012-01-07,41,29,6,0,1
20,2012-01-07,61,45,6,0,1
1,2012-01-08,45,27,7,0,1
2,2012-01-08,39,25,7,0,1
3,2012-01-08,53,33,7,0,1
4,2012-01-08,60,47,7,0,1
6,2012-01-08,61,42,7,0,1
7,2012-01-08,51,39,7,0,1
8,2012-01-08,72,52,7,0,1
9,2012-01-08,41,19,7,0,1
10,2012-01-08,75,49,7,0,1
11,2012-01-08,75,42,7,0,1
12,2012-01-08,74,45,7,0,1
13,2012-01-08,33,11,7,0,1
14,2012-01-08,51,42,7,0,1
15,2012-01-08,41,21,7,0,1
16,2012-01-08,43,27,7,0,1
17,2012-01-08,53,38,7,0,1
18,2012-01-08,58,40,7,0,1
19,2012-01-08,41,19,7,0,1
20,2012-01-08,59,39,7,0,1
1,2012-01-09,39,23,1,1,0
2,2012-01-09,38,21,1,1,0
3,2012-01-09,54,26,1,1,0
4,2012-01-09,57,42,1,1,0
6,2012-01-09,58,43,1,1,0
7,2012-01-09,52,27,1,1,0
8,2012-01-09,68,48,1,1,0
9,2012-01-09,49,27,1,1,0
10,2012-01-09,75,52,1,1,0
11,2012-01-09,76,46,1,1,0
12,2012-01-09,75,49,1,1,0
13,2012-01-09,47,17,1,1,0
14,2012-01-09,51,32,1,1,0
15,2012-01-09,35,15,1,1,0
16,2012-01-09,38,21,1,1,0
17,2012-01-09,55,32,1,1,0
18,2012-01-09,51,44,1,1,0
19,2012-01-09,46,27,1,1,0
20,2012-01-09,50,44,1,1,0
1,2012-01-10,47,29,2,1,0
2,2012-01-10,41,25,2,1,0
3,2012-01-10,51,30,2,1,0
4,2012-01-10,58,41,2,1,0
6,2012-01-10,60,35,2,1,0
7,2012-01-10,55,32,2,1,0
8,2012-01-10,59,41,2,1,0
9,2012-01-10,54,24,2,1,0
10,2012-01-10,74,56,2,1,0
11,2012-01-10,76,47,2,1,0
12,2012-01-10,75,48,2,1,0
13,2012-01-10,56,28,2,1,0
14,2012-01-10,54,30,2,1,0
15,2012-01-10,43,23,2,1,0
16,2012-01-10,47,28,2,1,0
17,2012-01-10,52,35,2,1,0
18,2012-01-10,46,42,2,1,0
19,2012-01-10,50,25,2,1,0
20,2012-01-10,47,42,2,1,0
1,2012-01-11,39,24,3,1,0
2,2012-01-11,38,28,3,1,0
3,2012-01-11,61,29,3,1,0
4,2012-01-11,77,38,3,1,0
6,2012-01-11,76,29,3,1,0
7,2012-01-11,53,28,3,1,0
8,2012-01-11,72,41,3,1,0
9,2012-01-11,38,14,3,1,0
10,2012-01-11,75,59,3,1,0
11,2012-01-11,73,55,3,1,0
12,2012-01-11,76,59,3,1,0
13,2012-01-11,41,3,3,1,0
14,2012-01-11,56,29,3,1,0
15,2012-01-11,34,21,3,1,0
16,2012-01-11,38,23,3,1,0
17,2012-01-11,62,24,3,1,0
18,2012-01-11,65,36,3,1,0
19,2012-01-11,55,28,3,1,0
20,2012-01-11,64,37,3,1,0
1,2012-01-12,40,31,4,1,0
2,2012-01-12,33,30,4,1,0
3,2012-01-12,35,21,4,1,0
4,2012-01-12,50,33,4,1,0
6,2012-01-12,51,28,4,1,0
7,2012-01-12,36,18,4,1,0
8,2012-01-12,54,32,4,1,0
9,2012-01-12,16,11,4,1,0
10,2012-01-12,75,52,4,1,0
11,2012-01-12,74,47,4,1,0
12,2012-01-12,74,49,4,1,0
13,2012-01-12,40,-1,4,1,0
14,2012-01-12,37,18,4,1,0
15,2012-01-12,32,26,4,1,0
16,2012-01-12,41,31,4,1,0
17,2012-01-12,35,23,4,1,0
18,2012-01-12,42,29,4,1,0
19,2012-01-12,36,20,4,1,0
20,2012-01-12,43,27,4,1,0
1,2012-01-13,50,30,5,1,0
2,2012-01-13,40,24,5,1,0
3,2012-01-13,48,20,5,1,0
4,2012-01-13,58,32,5,1,0
6,2012-01-13,59,26,5,1,0
7,2012-01-13,52,17,5,1,0
8,2012-01-13,55,30,5,1,0
9,2012-01-13,14,8,5,1,0
10,2012-01-13,65,43,5,1,0
11,2012-01-13,63,38,5,1,0
12,2012-01-13,65,42,5,1,0
13,2012-01-13,44,19,5,1,0
14,2012-01-13,52,18,5,1,0
15,2012-01-13,36,26,5,1,0
16,2012-01-13,54,30,5,1,0
17,2012-01-13,49,15,5,1,0
18,2012-01-13,56,28,5,1,0
19,2012-01-13,22,18,5,1,0
20,2012-01-13,57,27,5,1,0
1,2012-01-14,35,14,6,0,1
2,2012-01-14,28,12,6,0,1
3,2012-01-14,55,31,6,0,1
4,2012-01-14,67,31,6,0,1
6,2012-01-14,66,22,6,0,1
7,2012-01-14,57,29,6,0,1
8,2012-01-14,63,30,6,0,1
9,2012-01-14,21,6,6,0,1
10,2012-01-14,57,37,6,0,1
11,2012-01-14,56,29,6,0,1
12,2012-01-14,56,33,6,0,1
13,2012-01-14,53,20,6,0,1
14,2012-01-14,58,29,6,0,1
15,2012-01-14,31,5,6,0,1
16,2012-01-14,35,15,6,0,1
17,2012-01-14,56,23,6,0,1
18,2012-01-14,67,37,6,0,1
19,2012-01-14,21,14,6,0,1
20,2012-01-14,69,42,6,0,1
1,2012-01-15,16,4,7,0,1
2,2012-01-15,13,2,7,0,1
3,2012-01-15,64,32,7,0,1
4,2012-01-15,64,37,7,0,1
6,2012-01-15,64,26,7,0,1
7,2012-01-15,61,32,7,0,1
8,2012-01-15,64,34,7,0,1
9,2012-01-15,38,18,7,0,1
10,2012-01-15,65,38,7,0,1
11,2012-01-15,63,33,7,0,1
12,2012-01-15,64,32,7,0,1
13,2012-01-15,54,33,7,0,1
14,2012-01-15,61,28,7,0,1
15,2012-01-15,10,-1,7,0,1
16,2012-01-15,16,3,7,0,1
17,2012-01-15,65,25,7,0,1
18,2012-01-15,65,38,7,0,1
19,2012-01-15,30,10,7,0,1
20,2012-01-15,64,41,7,0,1
1,2012-01-16,32,8,1,1,0
2,2012-01-16,30,4,1,1,0
3,2012-01-16,72,56,1,1,0
4,2012-01-16,73,60,1,1,0
6,2012-01-16,76,59,1,1,0
7,2012-01-16,68,51,1,1,0
8,2012-01-16,73,63,1,1,0
9,2012-01-16,32,20,1,1,0
10,2012-01-16,68,42,1,1,0
11,2012-01-16,68,30,1,1,0
12,2012-01-16,67,36,1,1,0
13,2012-01-16,41,16,1,1,0
14,2012-01-16,69,52,1,1,0
15,2012-01-16,30,-5,1,1,0
16,2012-01-16,32,7,1,1,0
17,2012-01-16,73,56,1,1,0
18,2012-01-16,70,61,1,1,0
19,2012-01-16,41,29,1,1,0
20,2012-01-16,71,61,1,1,0
1,2012-01-17,46,32,2,1,0
2,2012-01-17,44,30,2,1,0
3,2012-01-17,66,22,2,1,0
4,2012-01-17,74,44,2,1,0
6,2012-01-17,75,43,2,1,0
7,2012-01-17,62,24,2,1,0
8,2012-01-17,77,46,2,1,0
9,2012-01-17,20,5,2,1,0
10,2012-01-17,76,51,2,1,0
11,2012-01-17,76,40,2,1,0
12,2012-01-17,75,44,2,1,0
13,2012-01-17,27,5,2,1,0
14,2012-01-17,62,25,2,1,0
15,2012-01-17,39,27,2,1,0
16,2012-01-17,47,31,2,1,0
17,2012-01-17,66,26,2,1,0
18,2012-01-17,68,38,2,1,0
19,2012-01-17,37,13,2,1,0
20,2012-01-17,68,38,2,1,0
1,2012-01-18,50,19,3,1,0
2,2012-01-18,46,16,3,1,0
3,2012-01-18,45,17,3,1,0
4,2012-01-18,66,36,3,1,0
6,2012-01-18,64,35,3,1,0
7,2012-01-18,46,21,3,1,0
8,2012-01-18,63,36,3,1,0
9,2012-01-18,26,-1,3,1,0
10,2012-01-18,64,53,3,1,0
11,2012-01-18,63,46,3,1,0
12,2012-01-18,64,50,3,1,0
13,2012-01-18,45,14,3,1,0
14,2012-01-18,46,17,3,1,0
15,2012-01-18,45,13,3,1,0
16,2012-01-18,51,18,3,1,0
17,2012-01-18,46,17,3,1,0
18,2012-01-18,55,30,3,1,0
19,2012-01-18,24,6,3,1,0
20,2012-01-18,55,28,3,1,0
1,2012-01-19,31,13,4,1,0
2,2012-01-19,26,10,4,1,0
3,2012-01-19,54,28,4,1,0
4,2012-01-19,80,45,4,1,0
6,2012-01-19,77,46,4,1,0
7,2012-01-19,52,28,4,1,0
8,2012-01-19,72,48,4,1,0
9,2012-01-19,4,-11,4,1,0
10,2012-01-19,65,44,4,1,0
11,2012-01-19,65,32,4,1,0
12,2012-01-19,64,34,4,1,0
13,2012-01-19,60,33,4,1,0
14,2012-01-19,54,30,4,1,0
15,2012-01-19,27,3,4,1,0
16,2012-01-19,34,11,4,1,0
17,2012-01-19,55,25,4,1,0
18,2012-01-19,73,40,4,1,0
19,2012-01-19,25,0,4,1,0
20,2012-01-19,73,40,4,1,0
1,2012-01-20,31,19,5,1,0
2,2012-01-20,27,15,5,1,0
3,2012-01-20,41,23,5,1,0
4,2012-01-20,74,57,5,1,0
6,2012-01-20,75,50,5,1,0
7,2012-01-20,47,27,5,1,0
8,2012-01-20,77,61,5,1,0
9,2012-01-20,11,-1,5,1,0
10,2012-01-20,75,45,5,1,0
11,2012-01-20,75,36,5,1,0
12,2012-01-20,76,38,5,1,0
13,2012-01-20,53,34,5,1,0
14,2012-01-20,48,28,5,1,0
15,2012-01-20,25,6,5,1,0
16,2012-01-20,32,18,5,1,0
17,2012-01-20,44,26,5,1,0
18,2012-01-20,78,47,5,1,0
19,2012-01-20,14,-1,5,1,0
20,2012-01-20,78,43,5,1,0
1,2012-01-21,20,13,6,0,1
2,2012-01-21,17,12,6,0,1
3,2012-01-21,43,18,6,0,1
4,2012-01-21,61,43,6,0,1
6,2012-01-21,58,43,6,0,1
7,2012-01-21,43,19,6,0,1
8,2012-01-21,70,48,6,0,1
9,2012-01-21,23,-2,6,0,1
10,2012-01-21,73,58,6,0,1
11,2012-01-21,74,50,6,0,1
12,2012-01-21,73,50,6,0,1
13,2012-01-21,64,34,6,0,1
14,2012-01-21,43,21,6,0,1
15,2012-01-21,18,0,6,0,1
16,2012-01-21,21,15,6,0,1
17,2012-01-21,42,20,6,0,1
18,2012-01-21,51,37,6,0,1
19,2012-01-21,27,6,6,0,1
20,2012-01-21,51,38,6,0,1
1,2012-01-22,28,7,7,0,1
2,2012-01-22,28,11,7,0,1
3,2012-01-22,71,42,7,0,1
4,2012-01-22,76,50,7,0,1
6,2012-01-22,74,43,7,0,1
7,2012-01-22,68,35,7,0,1
8,2012-01-22,79,52,7,0,1
9,2012-01-22,27,21,7,0,1
10,2012-01-22,75,57,7,0,1
11,2012-01-22,69,55,7,0,1
12,2012-01-22,73,52,7,0,1
13,2012-01-22,45,26,7,0,1
14,2012-01-22,70,34,7,0,1
15,2012-01-22,24,-7,7,0,1
16,2012-01-22,29,10,7,0,1
17,2012-01-22,72,42,7,0,1
18,2012-01-22,80,46,7,0,1
19,2012-01-22,37,21,7,0,1
20,2012-01-22,80,44,7,0,1
1,2012-01-23,48,27,1,1,0
2,2012-01-23,47,24,1,1,0
3,2012-01-23,59,32,1,1,0
4,2012-01-23,67,48,1,1,0
6,2012-01-23,66,40,1,1,0
7,2012-01-23,57,31,1,1,0
8,2012-01-23,63,46,1,1,0
9,2012-01-23,28,21,1,1,0
10,2012-01-23,79,61,1,1,0
11,2012-01-23,79,57,1,1,0
12,2012-01-23,80,57,1,1,0
13,2012-01-23,48,25,1,1,0
14,2012-01-23,57,34,1,1,0
15,2012-01-23,32,20,1,1,0
16,2012-01-23,47,26,1,1,0
17,2012-01-23,59,29,1,1,0
18,2012-01-23,62,39,1,1,0
19,2012-01-23,42,29,1,1,0
20,2012-01-23,63,40,1,1,0
1,2012-01-24,55,41,2,1,0
2,2012-01-24,50,35,2,1,0
3,2012-01-24,65,30,2,1,0
4,2012-01-24,68,47,2,1,0
6,2012-01-24,69,40,2,1,0
7,2012-01-24,64,43,2,1,0
8,2012-01-24,70,46,2,1,0
9,2012-01-24,24,13,2,1,0
10,2012-01-24,81,62,2,1,0
11,2012-01-24,82,54,2,1,0
12,2012-01-24,80,57,2,1,0
13,2012-01-24,35,22,2,1,0
14,2012-01-24,65,34,2,1,0
15,2012-01-24,49,31,2,1,0
16,2012-01-24,55,41,2,1,0
17,2012-01-24,64,27,2,1,0
18,2012-01-24,69,42,2,1,0
19,2012-01-24,32,22,2,1,0
20,2012-01-24,69,36,2,1,0
1,2012-01-25,42,35,3,1,0
2,2012-01-25,36,31,3,1,0
3,2012-01-25,49,41,3,1,0
4,2012-01-25,70,50,3,1,0
6,2012-01-25,70,51,3,1,0
7,2012-01-25,49,37,3,1,0
8,2012-01-25,72,52,3,1,0
9,2012-01-25,33,23,3,1,0
10,2012-01-25,77,61,3,1,0
11,2012-01-25,76,51,3,1,0
12,2012-01-25,75,54,3,1,0
13,2012-01-25,61,21,3,1,0
14,2012-01-25,51,38,3,1,0
15,2012-01-25,37,31,3,1,0
16,2012-01-25,43,33,3,1,0
17,2012-01-25,50,44,3,1,0
18,2012-01-25,52,47,3,1,0
19,2012-01-25,35,22,3,1,0
20,2012-01-25,53,48,3,1,0
1,2012-01-26,43,32,4,1,0
2,2012-01-26,38,28,4,1,0
3,2012-01-26,62,39,4,1,0
4,2012-01-26,70,47,4,1,0
6,2012-01-26,69,39,4,1,0
7,2012-01-26,54,30,4,1,0
8,2012-01-26,66,45,4,1,0
9,2012-01-26,40,22,4,1,0
10,2012-01-26,81,63,4,1,0
11,2012-01-26,81,54,4,1,0
12,2012-01-26,82,56,4,1,0
13,2012-01-26,54,32,4,1,0
14,2012-01-26,55,33,4,1,0
15,2012-01-26,39,28,4,1,0
16,2012-01-26,42,30,4,1,0
17,2012-01-26,62,30,4,1,0
18,2012-01-26,62,44,4,1,0
19,2012-01-26,38,31,4,1,0
20,2012-01-26,61,46,4,1,0
1,2012-01-27,45,34,5,1,0
2,2012-01-27,40,31,5,1,0
3,2012-01-27,64,30,5,1,0
4,2012-01-27,71,38,5,1,0
6,2012-01-27,71,32,5,1,0
7,2012-01-27,62,34,5,1,0
8,2012-01-27,70,37,5,1,0
9,2012-01-27,36,17,5,1,0
10,2012-01-27,73,58,5,1,0
11,2012-01-27,73,46,5,1,0
12,2012-01-27,74,52,5,1,0
13,2012-01-27,43,18,5,1,0
14,2012-01-27,62,35,5,1,0
15,2012-01-27,38,31,5,1,0
16,2012-01-27,45,33,5,1,0
17,2012-01-27,64,27,5,1,0
18,2012-01-27,67,36,5,1,0
19,2012-01-27,42,31,5,1,0
20,2012-01-27,68,35,5,1,0
1,2012-01-28,48,32,6,0,1
2,2012-01-28,43,31,6,0,1
3,2012-01-28,51,27,6,0,1
4,2012-01-28,59,41,6,0,1
6,2012-01-28,60,34,6,0,1
7,2012-01-28,48,27,6,0,1
8,2012-01-28,61,43,6,0,1
9,2012-01-28,28,19,6,0,1
10,2012-01-28,72,47,6,0,1
11,2012-01-28,71,39,6,0,1
12,2012-01-28,71,42,6,0,1
13,2012-01-28,45,15,6,0,1
14,2012-01-28,49,29,6,0,1
15,2012-01-28,44,32,6,0,1
16,2012-01-28,45,32,6,0,1
17,2012-01-28,51,25,6,0,1
18,2012-01-28,53,36,6,0,1
19,2012-01-28,37,26,6,0,1
20,2012-01-28,53,34,6,0,1
1,2012-01-29,43,31,7,0,1
2,2012-01-29,37,30,7,0,1
3,2012-01-29,61,33,7,0,1
4,2012-01-29,63,34,7,0,1
6,2012-01-29,63,29,7,0,1
7,2012-01-29,57,31,7,0,1
8,2012-01-29,63,37,7,0,1
9,2012-01-29,23,13,7,0,1
10,2012-01-29,66,46,7,0,1
11,2012-01-29,65,37,7,0,1
12,2012-01-29,63,41,7,0,1
13,2012-01-29,53,26,7,0,1
14,2012-01-29,58,27,7,0,1
15,2012-01-29,40,21,7,0,1
16,2012-01-29,42,31,7,0,1
17,2012-01-29,61,24,7,0,1
18,2012-01-29,61,31,7,0,1
19,2012-01-29,30,17,7,0,1
20,2012-01-29,61,31,7,0,1
1,2012-01-30,39,25,1,1,0
2,2012-01-30,34,23,1,1,0
3,2012-01-30,67,41,1,1,0
4,2012-01-30,64,41,1,1,0
6,2012-01-30,65,33,1,1,0
7,2012-01-30,65,42,1,1,0
8,2012-01-30,68,41,1,1,0
9,2012-01-30,42,20,1,1,0
10,2012-01-30,66,45,1,1,0
11,2012-01-30,64,30,1,1,0
12,2012-01-30,64,35,1,1,0
13,2012-01-30,59,31,1,1,0
14,2012-01-30,65,35,1,1,0
15,2012-01-30,34,17,1,1,0
16,2012-01-30,38,23,1,1,0
17,2012-01-30,67,37,1,1,0
18,2012-01-30,68,42,1,1,0
19,2012-01-30,45,14,1,1,0
20,2012-01-30,67,45,1,1,0
1,2012-01-31,44,25,2,1,0
2,2012-01-31,45,24,2,1,0
3,2012-01-31,72,45,2,1,0
4,2012-01-31,73,58,2,1,0
6,2012-01-31,72,53,2,1,0
7,2012-01-31,66,42,2,1,0
8,2012-01-31,72,57,2,1,0
9,2012-01-31,48,26,2,1,0
10,2012-01-31,73,48,2,1,0
11,2012-01-31,71,34,2,1,0
12,2012-01-31,70,40,2,1,0
13,2012-01-31,51,25,2,1,0
14,2012-01-31,66,44,2,1,0
15,2012-01-31,31,18,2,1,0
16,2012-01-31,46,22,2,1,0
17,2012-01-31,72,42,2,1,0
18,2012-01-31,75,58,2,1,0
19,2012-01-31,54,40,2,1,0
20,2012-01-31,74,58,2,1,0
1,2012-02-01,56,31,3,1,0
2,2012-02-01,55,33,3,1,0
3,2012-02-01,67,37,3,1,0
4,2012-02-01,82,59,3,1,0
6,2012-02-01,77,57,3,1,0
7,2012-02-01,65,34,3,1,0
8,2012-02-01,77,63,3,1,0
9,2012-02-01,34,31,3,1,0
10,2012-02-01,77,60,3,1,0
11,2012-02-01,77,48,3,1,0
12,2012-02-01,76,52,3,1,0
13,2012-02-01,52,25,3,1,0
14,2012-02-01,65,37,3,1,0
15,2012-02-01,45,27,3,1,0
16,2012-02-01,56,30,3,1,0
17,2012-02-01,68,39,3,1,0
18,2012-02-01,73,52,3,1,0
19,2012-02-01,41,33,3,1,0
20,2012-02-01,74,52,3,1,0
1,2012-02-02,43,30,4,1,0
2,2012-02-02,38,28,4,1,0
3,2012-02-02,67,30,4,1,0
4,2012-02-02,72,54,4,1,0
6,2012-02-02,75,51,4,1,0
7,2012-02-02,64,35,4,1,0
8,2012-02-02,77,59,4,1,0
9,2012-02-02,36,32,4,1,0
10,2012-02-02,78,63,4,1,0
11,2012-02-02,78,54,4,1,0
12,2012-02-02,79,54,4,1,0
13,2012-02-02,42,29,4,1,0
14,2012-02-02,65,38,4,1,0
15,2012-02-02,40,27,4,1,0
16,2012-02-02,42,30,4,1,0
17,2012-02-02,66,30,4,1,0
18,2012-02-02,73,48,4,1,0
19,2012-02-02,36,30,4,1,0
20,2012-02-02,73,48,4,1,0
1,2012-02-03,38,23,5,1,0
2,2012-02-03,36,19,5,1,0
3,2012-02-03,59,50,5,1,0
4,2012-02-03,75,66,5,1,0
6,2012-02-03,76,67,5,1,0
7,2012-02-03,63,43,5,1,0
8,2012-02-03,79,66,5,1,0
9,2012-02-03,34,25,5,1,0
10,2012-02-03,74,60,5,1,0
11,2012-02-03,73,50,5,1,0
12,2012-02-03,72,51,5,1,0
13,2012-02-03,30,24,5,1,0
14,2012-02-03,65,44,5,1,0
15,2012-02-03,35,18,5,1,0
16,2012-02-03,38,23,5,1,0
17,2012-02-03,59,51,5,1,0
18,2012-02-03,74,55,5,1,0
19,2012-02-03,37,31,5,1,0
20,2012-02-03,74,55,5,1,0
1,2012-02-04,39,26,6,0,1
2,2012-02-04,39,25,6,0,1
3,2012-02-04,51,38,6,0,1
4,2012-02-04,69,50,6,0,1
6,2012-02-04,70,50,6,0,1
7,2012-02-04,43,37,6,0,1
8,2012-02-04,72,52,6,0,1
9,2012-02-04,36,23,6,0,1
10,2012-02-04,76,61,6,0,1
11,2012-02-04,77,54,6,0,1
12,2012-02-04,76,54,6,0,1
13,2012-02-04,30,11,6,0,1
14,2012-02-04,44,38,6,0,1
15,2012-02-04,36,20,6,0,1
16,2012-02-04,41,24,6,0,1
17,2012-02-04,53,39,6,0,1
18,2012-02-04,56,44,6,0,1
19,2012-02-04,40,29,6,0,1
20,2012-02-04,56,43,6,0,1
1,2012-02-05,36,17,7,0,1
2,2012-02-05,33,17,7,0,1
3,2012-02-05,50,33,7,0,1
4,2012-02-05,50,41,7,0,1
6,2012-02-05,50,38,7,0,1
7,2012-02-05,49,34,7,0,1
8,2012-02-05,52,45,7,0,1
9,2012-02-05,30,24,7,0,1
10,2012-02-05,81,61,7,0,1
11,2012-02-05,81,55,7,0,1
12,2012-02-05,80,56,7,0,1
13,2012-02-05,35,5,7,0,1
14,2012-02-05,50,35,7,0,1
15,2012-02-05,35,10,7,0,1
16,2012-02-05,35,16,7,0,1
17,2012-02-05,50,29,7,0,1
18,2012-02-05,47,36,7,0,1
19,2012-02-05,42,29,7,0,1
20,2012-02-05,47,33,7,0,1
1,2012-02-06,52,26,1,1,0
2,2012-02-06,47,23,1,1,0
3,2012-02-06,55,28,1,1,0
4,2012-02-06,51,40,1,1,0
6,2012-02-06,51,37,1,1,0
7,2012-02-06,54,26,1,1,0
8,2012-02-06,54,41,1,1,0
9,2012-02-06,46,23,1,1,0
10,2012-02-06,71,59,1,1,0
11,2012-02-06,66,56,1,1,0
12,2012-02-06,66,58,1,1,0
13,2012-02-06,33,11,1,1,0
14,2012-02-06,54,27,1,1,0
15,2012-02-06,49,16,1,1,0
16,2012-02-06,50,23,1,1,0
17,2012-02-06,56,25,1,1,0
18,2012-02-06,55,34,1,1,0
19,2012-02-06,42,28,1,1,0
20,2012-02-06,54,32,1,1,0
1,2012-02-07,45,27,2,1,0
2,2012-02-07,42,27,2,1,0
3,2012-02-07,52,35,2,1,0
4,2012-02-07,67,43,2,1,0
6,2012-02-07,64,37,2,1,0
7,2012-02-07,52,34,2,1,0
8,2012-02-07,63,46,2,1,0
9,2012-02-07,32,16,2,1,0
10,2012-02-07,67,58,2,1,0
11,2012-02-07,70,49,2,1,0
12,2012-02-07,64,53,2,1,0
13,2012-02-07,24,12,2,1,0
14,2012-02-07,54,35,2,1,0
15,2012-02-07,42,20,2,1,0
16,2012-02-07,45,27,2,1,0
17,2012-02-07,54,32,2,1,0
18,2012-02-07,60,45,2,1,0
19,2012-02-07,36,24,2,1,0
20,2012-02-07,59,44,2,1,0
1,2012-02-08,38,17,3,1,0
2,2012-02-08,34,16,3,1,0
3,2012-02-08,41,34,3,1,0
4,2012-02-08,56,41,3,1,0
6,2012-02-08,57,40,3,1,0
7,2012-02-08,37,31,3,1,0
8,2012-02-08,55,45,3,1,0
9,2012-02-08,32,11,3,1,0
10,2012-02-08,73,53,3,1,0
11,2012-02-08,73,45,3,1,0
12,2012-02-08,70,50,3,1,0
